regional_id,name
76,SUNGAI SEMBILAN
76,DUMAI BARAT
76,DUMAI TIMUR
77,KERINCI
77,GUNUNG RAYA
77,BATANG MERANGIN
77,KELILING DANAU
77,DANAU KERINCI
77,SITINJAU LAUT
77,AIR HANGAT
77,AIR HANGAT TIMUR
77,DEPATI VII
77,GUNUNG KERINCI
77,SIULAK
77,KAYU ARO
77,GUNUNG TUJUH
78,JANGKAT
78,SUNGAI TENANG
78,MUARA SIAU
78,LEMBAH MASURAI
78,TIANG PUMPUNG
78,PAMENANG
78,PAMENANG BARAT
78,RENAH PAMENANG
78,PAMENANG SELATAN
78,BANGKO
78,BANGKO BARAT
78,NALO TANTAN
78,BATANG MASUMAI
78,SUNGAI MANAU
78,RENAH PEMBARAP
78,PANGKALAN JAMBU
78,TABIR
78,TABIR ULU
78,TABIR SELATAN
78,TABIR ILIR
78,TABIR TIMUR
78,TABIR LINTAS
78,MARGO TABIR
78,TABIR BARAT
79,BATANG ASAI
79,LIMUN
79,CERMIN NAN GEDANG
79,PELAWAN
79,SINGKUT
79,SAROLANGUN
79,BATHIN VIII
79,PAUH
79,AIR HITAM
79,MANDIANGIN
80,MERSAM
80,MARO SEBO ULU
80,BATIN XXIV
80,MUARA TEMBESI
80,MUARA BULIAN
80,BAJUBANG
80,MARO SEBO ILIR
80,PEMAYUNG
81,MESTONG
81,SUNGAI BAHAR
81,KUMPEH ULU
81,SUNGAI GELAM
81,KUMPEH
81,MARO SEBO
81,JAMBI LUAR KOTA
81,SEKERNAN
82,TUNGKAL ULU
82,MERLUNG
82,BATANG ASAM
82,TEBING TINGGI
82,RENAH MENDALUH
82,MUARA PAPALIK
82,PENGABUAN
82,SENYERANG
82,TUNGKAL ILIR
82,BRAM ITAM
82,SEBERANG KOTA
82,BETARA
82,KUALA BETARA
83,MENDAHARA
83,MENDAHARA ULU
83,GERAGAI
83,DENDANG
83,MUARA SABAK BARAT
83,MUARA SABAK TIMUR
83,KUALA JAMBI
83,RANTAU RASAU
83,BERBAK
